source_file,row_no,raw_description,txn_type,txn_date,notified_over_30d,amount_min,amount_max,amount_bracket,owner,asset_type,source_note
ProPublica-Trump,352,AMERICAN MUN PWR OH 5% DUE 02/15/42,purchase,2025-12-10,,500001,1000000,"$500,001 - $1,000,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,353,DELAWARE VALLEY PA 4% DUE 12/01/36,purchase,2025-12-05,,1000001,5000000,"$1,000,001 - $5,000,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,354,JPMORGAN CHASE & CO ALT TIER 3.6500% 12/31/49,purchase,2025-05-08,,100001,250000,"$100,001 - $250,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,355,NEW YORK N Y CITY T 5% DUE 11/01/39,purchase,2025-12-10,,500001,1000000,"$500,001 - $1,000,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,356,JPMORGAN CHASE & CO PERP NN 6.8750%,purchase,2025-05-08,,50001,100000,"$50,001 - $100,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,357,METUFE INC PERP JR SB GLBL 5.8750%,purchase,2025-05-08,,50001,100000,"$50,001 - $100,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,358,WASHINGTON ST HEALT 5% DUE 09/01/43,purchase,2025-12-08,,500001,1000000,"$500,001 - $1,000,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,359,COOK CNTY ILL SCH D 5% DUE 12/01/27,purchase,2025-12-08,,100001,250000,"$100,001 - $250,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,360,METUFE INC PERP JR SB GLBL 5.8750%,purchase,2025-05-08,,100001,250000,"$100,001 - $250,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,361,NEW YORK NT CITY T 5% DUE 11/01/50,purchase,2025-12-19,,15001,50000,"$15,001 - $50,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,362,METUFE INC PERP JR SB GLBL 5.8750%,purchase,2025-05-08,,250001,500000,"$250,001 - $500,000",self,stock,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
ProPublica-Trump,363,WEST VIRGINIA ST HO 5% DUE 06/01/40,purchase,2025-12-17,,1000001,5000000,"$1,000,001 - $5,000,000",self,bond,ProPublica hand-transcribed; https://projects.propublica.org/trump-team-financial-disclosures/appointees/trump-donald-j/
