file,directory,status,entity_id
"Katharine-MacGregor-08.07.2025-278T.pdf","data/raw_pdfs",ok,2632.001746e3b51c9c998b9376349f5c6b55b53a3334
"Keith-Sonderling-04.21.2025-278T.pdf","data/raw_pdfs",ok,2633.1be0bb6ae40fd6ec824e8947945058c423db064e
"Kristi-Noem-07.23.2025-278T.pdf","data/raw_pdfs",ok,2634.e9e6f9f65b5f3c867beeeb71ba3c9fe8267c8c59
"Lee-Zeldin-06.17.2025-278T.pdf","data/raw_pdfs",ok,2635.eaa31ce4daf625e92c17b7c8386ef295da75d767
"Lee-Zeldin-09-24-2025-278T.pdf","data/raw_pdfs",ok,2723.96f4e45cc34b7014c4372d0d32105cc0a844d5b6
"Linda-E-McMahon-05.30.2025-278T.pdf","data/raw_pdfs",ok,2636.fd03139bbf12c417e2d402327b0be8c1161a258b
"Linda-McMahon-07.02.2025-278T.pdf","data/raw_pdfs",ok,2637.e90262cf5d27a55272a071b769dfc87968a07f55
"Lori-Chavez-DeRemer-07.02.2025-278T.pdf","data/raw_pdfs",ok,2638.0ec8ebec8734e8daabe5d472fb827bb0b8dd0d9f
"Michael-J-Kratsios-01.10.2026-278T.pdf","data/raw_pdfs",ok,2639.f10cc3d4207a301755b0489e7267665327c6b567
"Michael-J-Kratsios-03.18.2025-278T.pdf","data/raw_pdfs",ok,2640.7075c6a0f066f2f9df23c25c858e0c2d51ada9e6
"Michael-J-Kratsios-03.29.2026-278T.pdf","data/raw_pdfs",ok,2641.c7ff48dbee51a8aa7a63df4463faed0420f1273e
"Michael-J-Kratsios-04.18.2025-278T.pdf","data/raw_pdfs",ok,2642.1c1d655c6b39c57b2dcedfed1c063ff04f68d094
"Michael-J-Kratsios-05.11.2025-278T.pdf","data/raw_pdfs",ok,2643.3d23d6ecac80c3b423cc6592c1ee4a869b5034e4
"Michael-J-Kratsios-06.09.2025-278T.pdf","data/raw_pdfs",ok,2644.2ab2d80a4ce5b65ef9eb15c778fa87b36f250148
"Michael-J-Kratsios-06.24.2025-278T.pdf","data/raw_pdfs",ok,2645.4707e396fc67b20baf26e1d207f14778d0b5201e
"Michael-J-Kratsios-07.15.2025-278T.pdf","data/raw_pdfs",ok,2646.2d4cf2efc641d1d9647cf38a50b1cf64f53674dc
"Michael-J-Kratsios-07.25.2025-278T.pdf","data/raw_pdfs",ok,2647.4bd26b46d3fd1b1896feefa2757c966d360d6742
"Michael-Kratsios-08.19.2025-278T.pdf","data/raw_pdfs",ok,2648.8f72a134ab0c9bb2fa2ddcc251c741cc740ece34
"Michael-W-Faulkender-06.26.2025-278T.pdf","data/raw_pdfs",ok,2649.1786a25ffac8ab5ca1d771ab038714fc14660d1f
"Pam-Bondi-05.05.2025-278T.pdf","data/raw_pdfs",ok,2650.e6957bbe6ca3f0417bc995adf6b6a49dca70c711
"Paul-R-Lawrence-06.11.2025-278T.pdf","data/raw_pdfs",ok,2651.13e4585e6a471a590caab2b5b280986b75f511c0
"Pete-Hegseth-04.11.2025-278T.pdf","data/raw_pdfs",ok,2652.ee81f0a89e8cd979480e7131886438eaa3ec86fb
"Robert-F-Kennedy-Jr-05.09.2025-278T.pdf","data/raw_pdfs",ok,2653.a2c59ec0b06a2e41cb792628a810fec1f83fc5b7
"Sara-Bailey-04.01.2026-278T.pdf","data/raw_pdfs",ok,2654.f205042117c93b2b8204ec0e4897228bffca0a5c
"Scott-A-Kupor-01.09.2026-278T.pdf","data/raw_pdfs",ok,2655.033896af5a8c324217705f29b7521d9bc3f65f03
"Scott-A-Kupor-02.06.2026-278T.pdf","data/raw_pdfs",ok,2656.bf3cf604867cca6e176efa26322fecc5330b8191
"Scott-A-Kupor-04.20.2026-278T.pdf","data/raw_pdfs",ok,2657.45461ab5bb5454a93a4b5148cb5cda0c4568f3f1
"Scott-A-Kupor-07.28.2025-278T.pdf","data/raw_pdfs",ok,2658.a3e97e0c49213ed85aaa27bc89d50f8e8b8ba271
"Scott-A-Kupor-09.02.2025-278T.pdf","data/raw_pdfs",ok,2659.b329db58e66cbe128158fdbd9a7ca0e5151b13a0
"Scott-A-Kupor-09.12.2025-278T.pdf","data/raw_pdfs",ok,2660.7d70a04a728c2db3c552f1e89138804c60b2f56d
"Scott-A-Kupor-09.26.2025-278T.pdf","data/raw_pdfs",ok,2661.d4b5f0a13e1b754ab38135ad4a24261df11bdb89
"Scott-A-Kupor-10.08.2025-278T.pdf","data/raw_pdfs",ok,2662.3260bb8d6c1ee7097c52a324d2260f7c35f000e9
"Scott-Bessent-07.14.2025-278T.pdf","data/raw_pdfs",ok,2663.b7dacfecdfc3fd7d1a71182deb7479ee8100cb86
"Scott-Bessent-12.05.2025-278T.pdf","data/raw_pdfs",ok,2664.8cafd2458984b0ab59deae303a84f0a5f710db44
"Sean-Duffy-04.23.2025-278T.pdf","data/raw_pdfs",ok,2665.20eaedd7923f15313d32fa8c06cbf9bd3699c991
"Sean-McMaster-01.20.2026-278T.pdf","data/raw_pdfs",ok,2666.f972da456293168724636361d0e05040369c3844
"Sean-McMaster-02.27.2026-278T.pdf","data/raw_pdfs",ok,2667.2ac38a5348fead61704e8bea569bd7d9f1a580e8
"Sean-McMaster-09.29.2025-278T.pdf","data/raw_pdfs",ok,2668.7e3b7de561da9ba2cdd117d1ca29f00f88b269a1
