ticker,awarding_agency,total_award_amount,n_awards
MU,Environmental Protection Agency,7200.0,1
MU,Federal Trade Commission,13355.42,1
MU,National Gallery of Art,6988.99,1
MU,Smithsonian Institution,9600.06,1
NDAQ,Department of State,22655.88,1
NDSN,Department of Commerce,93816.0,1
NDSN,Department of Defense,16666993.41,11
NDSN,Department of Justice,285945.93,1
NDSN,Department of the Treasury,299937.0,1
NEM,Department of Defense,16092.12,1
NHNKY,Department of Defense,1763460.32,2
NHNKY,Department of Health and Human Services,2118205.54,2
NHNKY,Department of Veterans Affairs,13071173.45,11
NKE,Department of Defense,246580.0,1
NKE,Department of the Interior,144845.17,5
NMRK,Department of Defense,60690.0,1
NMRK,Department of Energy,729663.0,3
NMRK,Department of Justice,1389681.0,1
NMRK,Department of State,235296.0,3
NMRK,General Services Administration,199572.2,4
NMRK,Smithsonian Institution,176138.68,2
NOV,Department of Commerce,17920.98,2
NOV,Department of Defense,16204.6,1
NOV,Department of Energy,59341.02,4
NOV,Department of Homeland Security,33580.0,2
NOV,Department of the Interior,194539.19,6
NOW,Agency for International Development,4190.0,1
NOW,Department of Defense,195000.0,2
NOW,Department of State,15567.42,2
NOW,Railroad Retirement Board,197798.67,8
NOW,Smithsonian Institution,3740885.26,2
NSRGY,Department of Defense,241482101.4,15
NTR,Department of Defense,5062188.82,7
NTR,Department of the Interior,2622073.96,3
NVDA,Department of Health and Human Services,8999.0,1
NVDA,Department of Justice,1200.0,1
NVS,Department of Health and Human Services,1468512474.75,15
OKE,Department of Defense,230286.0,1
OKE,Department of Justice,189400.96,6
OKE,Department of the Interior,505770.67,5
OKE,General Services Administration,178517.61,2
OMDA,Department of Veterans Affairs,153150.0,2
ORCL,Department of Defense,338145990.14,1
ORCL,Department of Veterans Affairs,6811236670.25,14
ORCL-PD,Department of Defense,338145990.14,1
ORCL-PD,Department of Veterans Affairs,6811236670.25,14
ORI,Department of the Interior,7284.0,2
ORI,Department of the Treasury,57802.0,11
ORLY,Department of Agriculture,80370.48,6
ORLY,Department of Justice,63579.01,4
ORLY,Department of Veterans Affairs,10220.0,1
ORLY,Department of the Interior,25834.71,3
OSS,Department of Defense,541028.84,9
OSS,Department of the Treasury,40312.0,1
OSS,National Aeronautics and Space Administration,998782.0,5
OTIS,Department of State,36087.08,1
OTTR,Department of the Interior,2913255.89,4
OTTR,General Services Administration,1873150.0,2
PEG,Department of Defense,614416.05,1
PEG,Department of Justice,2867133.08,5
PEG,Department of Veterans Affairs,902920.0,2
PEG,General Services Administration,10629890.06,7
PEP,Department of Defense,1289281.73,13
PFE,Agency for International Development,4239971980.0,2
PFE,Department of Defense,27698851445.15,3
PFE,Department of Health and Human Services,8692934212.35,10
PG,Department of Defense,1115253298.71,15
PGR,Department of Defense,130723929.09,8
PGR,Department of Education,287688787.5,3
PGR,Department of Veterans Affairs,31495709.32,3
PGR,Department of the Treasury,12245821.43,1
PH,Department of Defense,556979165.87,15
PLDGP,General Services Administration,9730321.05,15
PLTR,Department of Agriculture,94687811.42,1
PLTR,Department of Defense,1843170585.09,10
PLTR,Department of Energy,90967788.61,1
PLTR,Department of Homeland Security,236975423.91,2
PLTR,Department of Veterans Affairs,93288095.85,1
PNC,Agency for International Development,20294200.08,2
PNC,Department of Energy,7204953.1,7
PNC,Department of Health and Human Services,468709.0,1
PNC,Department of Housing and Urban Development,1539999.99,2
PNC,Overseas Private Investment Corporation,2690150.18,1
PNC,U.S. International Development Finance Corporation,10782745.61,2
PNR,Department of Defense,3529039.99,9
PNR,Department of the Interior,295017.08,2
POOL,Department of Defense,34122546.4,7
POOL,National Aeronautics and Space Administration,7349694.0,1
PPG,Department of Defense,59993722.52,15
PSTG,Smithsonian Institution,31344.0,1
PTON,Department of Defense,15305.0,1
PTON,Department of Justice,1056.0,2
QCOM,Department of Defense,28939712.81,9
QCOM,Department of Energy,534969.78,1
QCOM,Department of Homeland Security,3853448.89,2
RBGLY,Department of Defense,86652995.73,15
RCEL,Department of Defense,871700.0,5
RCEL,Department of Health and Human Services,66301163.0,2
REGN,Department of Defense,5565000000.0,1
REGN,Department of Health and Human Services,981283253.98,4
REGN,Department of Veterans Affairs,642323.76,2
RJET,Department of Defense,1411829.0,10
RMBL,Department of Agriculture,1012936.54,4
RMBL,Department of Defense,3959.06,1
RMBL,Department of the Interior,40817.38,2
RRX,Department of Defense,954155.0,2
RRX,Department of State,37394.77,1
RTNTF,Department of Defense,29814318.0,3
SAP,National Aeronautics and Space Administration,50674021.66,1
SBUX,Department of Defense,380893.28,15
SGSOY,Department of Defense,382264350.54,14
SHEL,Department of Defense,457246880.16,1
SHEL,Department of Energy,498020034.59,1
SHW,Department of Defense,18247652.57,15
SMLR,Department of Defense,15075.38,1
SMLR,Department of Veterans Affairs,120636.75,2
SNOW,Department of Transportation,236898.56,6
SNY,Department of Health and Human Services,6340624709.3,15
SOGP,Department of Commerce,17417738.01,1
SOGP,Department of Defense,826050574.55,11
SOGP,Department of Homeland Security,54065087.31,2
SPGI,Department of Defense,4384383.63,2
SPGI,Department of Energy,4265591.0,2
SPGI,Department of Justice,2573644.08,1
SPGI,Department of Labor,2091000.0,1
SPGI,Department of the Interior,2095043.0,1
SPGI,Department of the Treasury,36322051.68,5
SPGI,Export-Import Bank of the United States,2293499.0,1
SPGI,General Services Administration,2335530.0,1
SPGI,Securities and Exchange Commission,2283636.47,1
STE,Department of Defense,6408925.0,2
STE,Department of Veterans Affairs,45398235.58,13
SZKMY,Department of Agriculture,28538.47,1
SZKMY,Department of Commerce,31453.19,1
SZKMY,Department of Defense,146676.91,3
SZKMY,Department of Homeland Security,198301.69,7
SZKMY,Department of State,269910.0,1
SZKMY,Department of the Interior,63728.97,2
T,Department of Defense,534894865.44,5
T,Department of Health and Human Services,99295380.01,1
T,Department of State,212124853.63,3
T,Department of Veterans Affairs,120204178.85,1
T,Department of the Treasury,301628171.25,5
TDG,Department of Defense,3256504.0,1
TDY,Department of Defense,933178940.52,10
TDY,Department of Energy,63236669.51,1
TDY,National Aeronautics and Space Administration,1233916766.35,4
TEAM,Department of Defense,89003.0,6
TEAM,Department of Health and Human Services,21282.0,2
TEAM,Department of State,11550.0,1
TEAM,Department of the Interior,16000.0,1
TEAM,Environmental Protection Agency,21580.0,2
TEAM,National Aeronautics and Space Administration,12000.0,1
TEAM,National Science Foundation,34935.0,2
TMO,Department of Defense,51283403.74,3
TMO,Department of Homeland Security,40301458.0,2
TMUS,Department of Agriculture,2929495.46,1
TMUS,Department of Defense,23638977.27,7
TMUS,Department of Labor,2606387.02,1
TMUS,Department of State,3200000.0,1
TMUS,Department of Veterans Affairs,103038792.8,2
TMUS,Department of the Treasury,26228162.99,1
TMUS,Environmental Protection Agency,6326776.54,1
TMUS,Federal Trade Commission,2641822.6,1
TMUSL,Department of Agriculture,2929495.46,1
TMUSL,Department of Defense,23638977.27,7
TMUSL,Department of Labor,2606387.02,1
TMUSL,Department of State,3200000.0,1
TMUSL,Department of Veterans Affairs,103038792.8,2
TMUSL,Department of the Treasury,26228162.99,1
TMUSL,Environmental Protection Agency,6326776.54,1
TMUSL,Federal Trade Commission,2641822.6,1
TRMB,Department of Defense,84072591.83,12
TRMB,General Services Administration,7888185.6,1
TRU,Department of Defense,97800.0,1
TRU,Department of Homeland Security,405080.0,2
TRU,Department of Justice,915216.75,2
